theme,approach,fold,wss95,wss95_threshold,roc_auc,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,n,n_errors,mean_latency_s,calibrated_recall,calibrated_precision,calibrated_excluded,calibrated_missed
ontologies,llama3.2:3b/zero-shot,2,0.2039682539682539,3.0,0.6568877551020409,0.25925925925925924,3.0,0.14893617021276595,1.0,63,0,4.04,,,,
ontologies,llama3.2:3b/zero-shot,3,0.14999999999999997,3.0,0.6858974358974359,0.16666666666666666,5.0,0.09523809523809523,0.6666666666666666,55,0,3.95,,,,
ontologies,qwen2.5:3b/few-shot-random,1,-0.050000000000000044,1.0,0.9,0.888888888888889,5.0,1.0,0.8,32,0,2.95,,,,
ontologies,qwen2.5:3b/few-shot-random,2,-0.050000000000000044,1.0,0.465561224489796,0.25,7.0,1.0,0.14285714285714285,63,0,3.01,,,,
ontologies,qwen2.5:3b/few-shot-random,3,0.004545454545454498,4.0,0.7756410256410255,0.36363636363636365,6.0,0.25,0.6666666666666666,55,0,2.91,,,,
ontologies,qwen2.5:3b/few-shot-similar,1,0.012499999999999956,4.0,0.8925925925925925,0.8000000000000002,5.0,0.8,0.8,32,0,4.58,,,,
ontologies,qwen2.5:3b/few-shot-similar,2,0.013492063492063444,4.0,0.5433673469387754,0.21212121212121215,4.0,0.11864406779661017,1.0,63,0,4.35,,,,
ontologies,qwen2.5:3b/few-shot-similar,3,-0.031818181818181863,4.0,0.8173076923076922,0.8,7.0,1.0,0.6666666666666666,55,0,4.24,,,,
ontologies,qwen2.5:3b/zero-shot,1,-0.050000000000000044,1.0,0.8148148148148149,0.8000000000000002,5.0,0.8,0.8,32,0,3.23,,,,
ontologies,qwen2.5:3b/zero-shot,2,0.28333333333333327,2.0,0.7193877551020409,0.30303030303030304,4.0,0.19230769230769232,0.7142857142857143,63,0,2.92,,,,
ontologies,qwen2.5:3b/zero-shot,3,0.2954545454545454,3.0,0.8205128205128205,0.4444444444444444,5.0,0.3333333333333333,0.6666666666666666,55,0,2.78,,,,
pair,gemma2:2b/few-shot-random,1,0.0981481481481481,3.0,0.5794117647058824,0.6060606060606061,3.0,0.43478260869565216,1.0,27,0,4.02,,,,
pair,gemma2:2b/few-shot-random,2,-0.014285714285714332,3.0,0.48538011695906436,0.5,3.0,0.3333333333333333,1.0,56,0,4.01,,,,
pair,gemma2:2b/few-shot-random,3,0.05638297872340421,3.0,0.578125,0.5263157894736842,3.0,0.35714285714285715,1.0,47,0,3.93,,,,
pair,gemma2:2b/few-shot-similar,1,-0.01296296296296301,3.0,0.5294117647058824,0.5555555555555556,3.0,0.38461538461538464,1.0,27,0,4.1,,,,
pair,gemma2:2b/few-shot-similar,2,-0.03214285714285719,3.0,0.49853801169590645,0.4931506849315069,3.0,0.32727272727272727,1.0,56,0,4.1,,,,
pair,gemma2:2b/few-shot-similar,3,-0.028723404255319194,6.0,0.515625,0.4918032786885246,6.0,0.32608695652173914,1.0,47,0,4.01,,,,
pair,gemma2:2b/zero-shot,1,-0.050000000000000044,1.0,0.6411764705882352,0.5714285714285713,4.0,0.5454545454545454,0.6,27,0,3.33,,,,
pair,gemma2:2b/zero-shot,2,-0.050000000000000044,1.0,0.7112573099415205,0.6222222222222222,3.0,0.5185185185185185,0.7777777777777778,56,0,2.73,,,,
pair,gemma2:2b/zero-shot,3,-0.050000000000000044,1.0,0.7666666666666667,0.6470588235294117,6.0,0.5789473684210527,0.7333333333333333,47,0,2.79,,,,
pair,llama3.2:3b/few-shot-random,1,-0.050000000000000044,1.0,0.6264705882352941,0.6,5.0,0.45,0.9,27,0,4.2,,,,
pair,llama3.2:3b/few-shot-random,2,-0.050000000000000044,1.0,0.7090643274853802,0.6181818181818182,5.0,0.4594594594594595,0.9444444444444444,56,0,4.24,,,,
pair,llama3.2:3b/few-shot-random,3,0.03510638297872336,5.0,0.5625,0.5172413793103449,5.0,0.3488372093023256,1.0,47,0,3.98,,,,
pair,llama3.2:3b/few-shot-similar,1,0.13518518518518513,5.0,0.6470588235294117,0.625,5.0,0.45454545454545453,1.0,27,0,6.26,,,,
pair,llama3.2:3b/few-shot-similar,2,0.07499999999999996,5.0,0.5921052631578947,0.5373134328358209,5.0,0.3673469387755102,1.0,56,0,5.77,,,,
pair,llama3.2:3b/few-shot-similar,3,-0.028723404255319194,5.0,0.48333333333333334,0.4918032786885246,5.0,0.32608695652173914,1.0,47,0,5.55,,,,
pair,llama3.2:3b/zero-shot,1,0.13518518518518513,3.0,0.7352941176470589,0.625,3.0,0.45454545454545453,1.0,27,0,4.2,,,,
pair,llama3.2:3b/zero-shot,2,0.2178571428571428,3.0,0.743421052631579,0.6101694915254238,3.0,0.43902439024390244,1.0,56,0,3.79,,,,
pair,llama3.2:3b/zero-shot,3,0.05638297872340421,3.0,0.678125,0.5263157894736842,3.0,0.35714285714285715,1.0,47,0,3.7,,,,
pair,qwen2.5:3b/few-shot-random,1,-0.050000000000000044,1.0,0.6529411764705881,0.5405405405405406,1.0,0.37037037037037035,1.0,27,0,3.15,,,,
pair,qwen2.5:3b/few-shot-random,2,-0.014285714285714332,4.0,0.6732456140350876,0.5,4.0,0.3333333333333333,1.0,56,0,3.05,,,,
pair,qwen2.5:3b/few-shot-random,3,-0.028723404255319194,4.0,0.7447916666666666,0.5882352941176471,5.0,0.5263157894736842,0.6666666666666666,47,0,3.06,,,,
pair,qwen2.5:3b/few-shot-similar,1,0.06111111111111106,4.0,0.638235294117647,0.5882352941176471,4.0,0.4166666666666667,1.0,27,0,4.83,,,,
pair,qwen2.5:3b/few-shot-similar,2,-0.014285714285714332,4.0,0.7733918128654972,0.65,5.0,0.5909090909090909,0.7222222222222222,56,0,4.61,,,,
pair,qwen2.5:3b/few-shot-similar,3,-0.028723404255319194,4.0,0.7104166666666666,0.5882352941176471,5.0,0.5263157894736842,0.6666666666666666,47,0,4.31,,,,
pair,qwen2.5:3b/zero-shot,1,0.0981481481481481,2.0,0.7264705882352942,0.6666666666666667,4.0,0.5294117647058824,0.9,27,0,3.37,,,,
pair,qwen2.5:3b/zero-shot,2,0.14642857142857138,3.0,0.7858187134502924,0.6222222222222222,4.0,0.5185185185185185,0.7777777777777778,56,0,2.84,,,,
pair,qwen2.5:3b/zero-shot,3,0.4393617021276595,4.0,0.8583333333333334,0.7692307692307693,4.0,0.625,1.0,47,0,2.82,,,,
slr,gemma2:2b/few-shot-random,1,-0.050000000000000044,1.0,0.5,0.7692307692307693,1.0,0.625,1.0,8,0,4.18,,,,
slr,gemma2:2b/few-shot-random,2,-0.050000000000000044,1.0,0.5,0.7777777777777778,1.0,0.6363636363636364,1.0,11,0,4.16,,,,
slr,gemma2:2b/few-shot-random,3,-0.050000000000000044,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,8,0,5.29,,,,
slr,gemma2:2b/few-shot-similar,1,-0.050000000000000044,1.0,0.5,0.7692307692307693,1.0,0.625,1.0,8,0,5.72,,,,
slr,gemma2:2b/few-shot-similar,2,-0.050000000000000044,1.0,0.5,0.7777777777777778,1.0,0.6363636363636364,1.0,11,0,5.7,,,,
slr,gemma2:2b/few-shot-similar,3,-0.050000000000000044,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,8,0,6.02,,,,
slr,gemma2:2b/zero-shot,1,-0.050000000000000044,1.0,0.5,0.7692307692307693,1.0,0.625,1.0,8,0,6.24,,,,
slr,gemma2:2b/zero-shot,2,-0.050000000000000044,1.0,0.6785714285714286,0.7999999999999999,3.0,0.75,0.8571428571428571,11,0,3.41,,,,
slr,gemma2:2b/zero-shot,3,0.19999999999999996,3.0,0.75,0.8,3.0,0.6666666666666666,1.0,8,0,2.98,,,,
